question_slug,phase_id,model_id,round_number,metric,comparison_type,comparison_target,value
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.622486
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.207488
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.638739
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.256566
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.575911
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.262537
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,tfidf_cosine,within_model_round_to_round,round_2-to-3,0.609628
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,keyword_jaccard,within_model_round_to_round,round_2-to-3,0.205052
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,heading_jaccard,within_model_round_to_round,round_2-to-3,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,tfidf_cosine,within_model_round_to_round,round_2-to-3,0.548979
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,keyword_jaccard,within_model_round_to_round,round_2-to-3,0.214829
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,heading_jaccard,within_model_round_to_round,round_2-to-3,0.076923
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,tfidf_cosine,within_model_round_to_round,round_2-to-3,0.562716
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,keyword_jaccard,within_model_round_to_round,round_2-to-3,0.281525
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,heading_jaccard,within_model_round_to_round,round_2-to-3,0.047619
rq-1-24-swarm-coordination-architecture-scale,phase-1,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.445722
rq-1-24-swarm-coordination-architecture-scale,phase-1,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.210714
rq-1-24-swarm-coordination-architecture-scale,phase-1,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-1-24-swarm-coordination-architecture-scale,phase-1,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.481889
rq-1-24-swarm-coordination-architecture-scale,phase-1,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.201128
rq-1-24-swarm-coordination-architecture-scale,phase-1,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-1-24-swarm-coordination-architecture-scale,phase-1,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.558581
rq-1-24-swarm-coordination-architecture-scale,phase-1,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.235450
rq-1-24-swarm-coordination-architecture-scale,phase-1,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.030303
rq-1-40-slot-reallocation-governance,phase-1,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.660888
rq-1-40-slot-reallocation-governance,phase-1,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.241379
rq-1-40-slot-reallocation-governance,phase-1,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-1-40-slot-reallocation-governance,phase-1,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.474516
rq-1-40-slot-reallocation-governance,phase-1,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.204918
rq-1-40-slot-reallocation-governance,phase-1,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.090909
rq-1-40-slot-reallocation-governance,phase-1,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.572453
rq-1-40-slot-reallocation-governance,phase-1,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.246857
rq-1-40-slot-reallocation-governance,phase-1,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.069767
rq-1-42-node-end-of-life-disposal,phase-1,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.637257
rq-1-42-node-end-of-life-disposal,phase-1,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.242581
rq-1-42-node-end-of-life-disposal,phase-1,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-1-42-node-end-of-life-disposal,phase-1,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.570291
rq-1-42-node-end-of-life-disposal,phase-1,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.226446
rq-1-42-node-end-of-life-disposal,phase-1,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-1-42-node-end-of-life-disposal,phase-1,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.568061
rq-1-42-node-end-of-life-disposal,phase-1,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.257449
rq-1-42-node-end-of-life-disposal,phase-1,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-2-17-fleet-coordination-scale-constraints,phase-2,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.625000
rq-2-17-fleet-coordination-scale-constraints,phase-2,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.216080
rq-2-17-fleet-coordination-scale-constraints,phase-2,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.068966
rq-2-17-fleet-coordination-scale-constraints,phase-2,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.464332
rq-2-17-fleet-coordination-scale-constraints,phase-2,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.146520
rq-2-17-fleet-coordination-scale-constraints,phase-2,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-2-17-fleet-coordination-scale-constraints,phase-2,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.583235
rq-2-17-fleet-coordination-scale-constraints,phase-2,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.246980
rq-2-17-fleet-coordination-scale-constraints,phase-2,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,claude-opus-4-6,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.634438
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,claude-opus-4-6,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.254573
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,claude-opus-4-6,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gemini-3-pro,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.622911
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gemini-3-pro,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.232902
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gemini-3-pro,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.062500
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gpt-5-2,1,tfidf_cosine,within_model_round_to_round,round_1-to-2,0.670703
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gpt-5-2,1,keyword_jaccard,within_model_round_to_round,round_1-to-2,0.241071
rq-2-20-swarm-roi-threshold-humanity-power-needs,phase-2,gpt-5-2,1,heading_jaccard,within_model_round_to_round,round_1-to-2,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.560824
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.560824
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.190751
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.190751
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.512860
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.512860
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.171651
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.171651
rq-0-14-propellant-production-phase-0-scope,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.514369
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.514369
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.146605
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.146605
rq-0-14-propellant-production-phase-0-scope,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-14-propellant-production-phase-0-scope,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.517637
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.517637
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.164723
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.164723
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.566584
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.566584
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.203474
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.203474
rq-0-18-human-rating-transport-vehicles,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.033333
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.033333
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.465007
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.465007
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.154179
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.154179
rq-0-18-human-rating-transport-vehicles,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-18-human-rating-transport-vehicles,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.453214
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.453214
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.181311
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.181311
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.498666
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.498666
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.208477
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.208477
rq-0-26-dual-bucket-wheel-excavation,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.344293
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.344293
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.141655
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.141655
rq-0-26-dual-bucket-wheel-excavation,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-26-dual-bucket-wheel-excavation,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.569937
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.569937
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.173267
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.173267
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.403055
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.403055
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.157534
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.157534
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.411740
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.411740
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.162500
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.162500
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,1,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.544891
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.544891
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.176976
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.176976
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.519524
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.519524
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.184012
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.184012
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,2,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.043478
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.043478
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.408958
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,tfidf_cosine,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.408958
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.185784
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,keyword_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.185784
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,2,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,2,heading_jaccard,cross_model_within_round,gemini-3-pro_vs_gpt-5-2,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,3,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.401249
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,3,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.401249
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,3,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.133333
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,3,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.133333
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,3,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,gemini-3-pro,3,heading_jaccard,cross_model_within_round,claude-opus-4-6_vs_gemini-3-pro,0.000000
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,3,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.342442
rq-0-28-isru-cost-methodology-validation,phase-0,gpt-5-2,3,tfidf_cosine,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.342442
rq-0-28-isru-cost-methodology-validation,phase-0,claude-opus-4-6,3,keyword_jaccard,cross_model_within_round,claude-opus-4-6_vs_gpt-5-2,0.161290
