questionId,rq_title,rank,year,first_author,paper_title,venue,cites,doi
rq-1-1,Thin-film PV radiation degradation rates at 0.3-0.5 AU,1,2025,Zhao,"Understanding proton radiation-induced degradation mechanisms in Cu2ZnSn(S,Se)4 kesterite thin-film solar cells",Solar Energy,9,10.1016/j.solener.2025.113450
rq-1-1,Thin-film PV radiation degradation rates at 0.3-0.5 AU,2,2019,Mohammad,Electric field assisted spray coated lead free bismuth iodide perovskite thin film for solar cell application,Solar Energy,37,10.1016/j.solener.2019.02.034
rq-1-1,Thin-film PV radiation degradation rates at 0.3-0.5 AU,3,2013,Ishikawa,Variation of proton radiation belt deduced from solar cell degradation of Akebono satellite,"Earth, Planets and Space",8,10.5047/eps.2012.06.004
rq-1-4,High-voltage arc fault behavior in plasma environment,1,2005,Toyoda,Degradation of High-Voltage Solar Array Due to Arcing in Plasma Environment,Journal of Spacecraft and Rockets,39,10.2514/1.11602
rq-1-4,High-voltage arc fault behavior in plasma environment,2,2014,Wang,Simulation of Arcing Process in High-Voltage Self-Blast Circuit Breaker Considering Motion of Valves,IEEE Transactions on Plasma Science,10,10.1109/tps.2014.2324599
rq-1-4,High-voltage arc fault behavior in plasma environment,3,2015,Iwai,Flight Results of Arcing Experiment Onboard High-Voltage Technology Demonstration Satellite Horyu-2,Journal of Spacecraft and Rockets,9,10.2514/1.a33007
rq-1-4,High-voltage arc fault behavior in plasma environment,4,2022,Goebel,High Voltage Solar Array Development for Space and Thruster-Plume Plasma Environments,IEEE Transactions on Plasma Science,7,10.1109/tps.2022.3147424
rq-1-8,High-voltage arcing prevention on ultra-thin substrates,1,2005,Toyoda,Degradation of High-Voltage Solar Array Due to Arcing in Plasma Environment,Journal of Spacecraft and Rockets,39,10.2514/1.11602
rq-1-8,High-voltage arcing prevention on ultra-thin substrates,2,2017,Ferguson,Voltage Threshold and Power Degradation Rate for GPS Solar Array Arcing,IEEE Transactions on Plasma Science,14,10.1109/tps.2017.2694387
rq-1-11,Swarm-level power architecture and end-use,1,2024,Mahbub,"Far-Field Wireless Power Beaming to Mobile Receivers Using Distributed, Coherent Phased Arrays: A Review of the Critical Components of a Distributed Wireless Power Beaming System",IEEE Microwave Magazine,20,10.1109/mmm.2024.3363982
rq-1-11,Swarm-level power architecture and end-use,2,2024,Kim,Hybrid Beamfocusing Architecture and Algorithm for Microwave Wireless Power Transmission Systems,IEEE Access,1,10.1109/access.2024.3386968
rq-1-13,Thermal management at 0.5 AU or closer,1,2005,Totani,Thermal Design of Liquid Droplet Radiator for Space Solar-Power System,Journal of Spacecraft and Rockets,21,10.2514/1.11006
rq-1-13,Thermal management at 0.5 AU or closer,2,2010,White,High-Temperature Spectrometer for Thermal Protection System Radiation Measurements,Journal of Spacecraft and Rockets,17,10.2514/1.45222
rq-1-16,Autonomy certification for fully autonomous assembly,1,2014,Torens,Certification and Software Verification Considerations for Autonomous Unmanned Aircraft,Journal of Aerospace Information Systems,21,10.2514/1.i010163
rq-1-16,Autonomy certification for fully autonomous assembly,2,2016,Dennis,Formal verification of ethical choices in autonomous systems,Robotics and Autonomous Systems,157,10.1016/j.robot.2015.11.012
rq-1-16,Autonomy certification for fully autonomous assembly,3,2021,Costello,Generating Certification Evidence for Autonomous Aerial Vehicles Decision-Making,Journal of Aerospace Information Systems,8,10.2514/1.i010848
rq-1-18,Tile/Collector interface finalization,1,2015,Wang,Design and Deployment Analysis of Modular Deployable Structure for Large Antennas,Journal of Spacecraft and Rockets,54,10.2514/1.a33127
rq-1-18,Tile/Collector interface finalization,2,2020,Firth,Minimal Unpowered Strain-Energy Deployment Mechanism for Rollable Spacecraft Booms: Ground Test,Journal of Spacecraft and Rockets,21,10.2514/1.a34565
rq-1-20,Nuclear vs solar power decision for Assembly Node,1,2024,Maydan,Combined Cycle Nuclear System Architecture for Crewed Mars Spacecraft Propulsion and Power,Journal of Propulsion and Power,4,10.2514/1.b39149
rq-1-20,Nuclear vs solar power decision for Assembly Node,2,2022,Wang,Two-Stage Factorized Power Architecture DC–DC Converter for Spacecraft Secondary Power Supply System,IEEE Journal of Emerging and Selected Topics in Power Electronics,14,10.1109/jestpe.2022.3140431
rq-1-20,Nuclear vs solar power decision for Assembly Node,3,2024,Zhang,Technical challenges of space solar power stations: Ultra-large-scale space solar array systems and space environmental effects,Space Solar Power and Wireless Transmission,10,10.1016/j.sspwt.2024.09.003
rq-1-20,Nuclear vs solar power decision for Assembly Node,4,2024,Xu,Research on PV array reconstruction and Full-cycle maximum power point tracking technology of space solar power station,Space Solar Power and Wireless Transmission,3,10.1016/j.sspwt.2024.09.004
rq-1-22,Autonomous assembly reliability target (95%+),1,2017,Kim,Reliability–redundancy allocation problem considering optimal redundancy strategy using parallel genetic algorithm,Reliability Engineering &amp; System Safety,162,10.1016/j.ress.2016.10.033
rq-1-22,Autonomous assembly reliability target (95%+),2,2015,Crestani,Enhancing fault tolerance of autonomous mobile robots,Robotics and Autonomous Systems,70,10.1016/j.robot.2014.12.015
rq-1-25,Orbital capture architecture definition,1,2015,Zhang,Modeling and dynamical performance of the electromagnetic mass driver system for structural vibration control,Engineering Structures,78,10.1016/j.engstruct.2014.10.029
rq-1-25,Orbital capture architecture definition,2,2012,Nizhnik,A Low-Cost Launch Assistance System for Orbital Launch Vehicles,International Journal of Aerospace Engineering,7,10.1155/2012/830536
rq-1-44,Minimum Viable Photovoltaic Production Rate,1,2018,Xin,A review on high throughput roll-to-roll manufacturing of chemical vapor deposition graphene,Applied Physics Reviews,70,10.1063/1.5035295
rq-1-44,Minimum Viable Photovoltaic Production Rate,2,2016,Chen,High-rate roll-to-roll stack and lamination of multilayer structured membrane electrode assembly,Journal of Manufacturing Processes,37,10.1016/j.jmapro.2016.06.022
rq-2-1,Multi-kilovolt arc management in kilometer-scale membranes,1,2014,Liu,Observations and modeling of GIC in the Chinese large-scale high-voltage power networks,Journal of Space Weather and Space Climate,36,10.1051/swsc/2013057
rq-2-1,Multi-kilovolt arc management in kilometer-scale membranes,2,2012,Wright,Electrostatic Discharge Testing of Multijunction Solar Array Coupons After Combined Space Environmental Exposures,IEEE Transactions on Plasma Science,28,10.1109/tps.2011.2174447
rq-2-1,Multi-kilovolt arc management in kilometer-scale membranes,3,2014,Ferguson,Feasibility of Detecting Spacecraft Charging and Arcing by Remote Sensing,Journal of Spacecraft and Rockets,27,10.2514/1.a32958
rq-2-1,Multi-kilovolt arc management in kilometer-scale membranes,4,2010,Lai,Importance of Surface Conditions for Spacecraft Charging,Journal of Spacecraft and Rockets,16,10.2514/1.48824
rq-2-5,In-space manufacturing readiness for kilometer-scale structures,1,2023,Zhou,Modular Dynamic Modeling for On-Orbit Assembly of Large-Scale Space Structures,International Journal of Aerospace Engineering,10,10.1155/2023/6659124
rq-2-5,In-space manufacturing readiness for kilometer-scale structures,2,2025,Zhang,Research on Equivalent Scale Analysis for On-Orbit Assembly of Ultra-Large Space Structures,Materials,1,10.3390/ma18245508
rq-2-5,In-space manufacturing readiness for kilometer-scale structures,3,2024,Liu,Design of Docking Interfaces for On-Orbit Assembly of Large Structures in Space,Sensors,5,10.3390/s24206534
rq-2-6,Power export interface standard,1,2024,Mahbub,"Far-Field Wireless Power Beaming to Mobile Receivers Using Distributed, Coherent Phased Arrays: A Review of the Critical Components of a Distributed Wireless Power Beaming System",IEEE Microwave Magazine,20,10.1109/mmm.2024.3363982
rq-2-6,Power export interface standard,2,2016,Xia,Application of wireless power transfer technologies and intermittent energy harvesting for wireless sensors in rotating machines,Wireless Power Transfer,14,10.1017/wpt.2016.6
rq-2-6,Power export interface standard,3,2025,Debnath,High-efficiency coil design for wireless power transfer: Mitigating misalignment challenges in transportation,Energy,12,10.1016/j.energy.2025.135929
rq-2-6,Power export interface standard,4,2024,Soleimani,High‐power radio frequency wireless energy transfer system: Comprehensive survey on design challenges,IET Wireless Sensor Systems,7,10.1049/wss2.12089
rq-2-14,Space-based silicon purity achievement,1,2025,Cheng,A comprehensive review on wafering of silicon substrate for photovoltaic solar cell,Solar Energy,8,10.1016/j.solener.2025.113977
rq-2-14,Space-based silicon purity achievement,2,2022,Huang,Purification of Metallurgical-grade Silicon by Sn-Si Solvent Refining with Different Tin Content,Silicon,5,10.1007/s12633-022-01917-y
rq-2-18,Vacuum dust/particulate control for manufacturing,1,2018,Liu,Role of vacuum on cleanliness improvement of steel during electroslag remelting,Vacuum,41,10.1016/j.vacuum.2018.05.032
rq-2-18,Vacuum dust/particulate control for manufacturing,2,2024,Zhang,Effects of refining slag basicity and vacuum treatment on the cleanliness of bearing steel,Vacuum,20,10.1016/j.vacuum.2024.112984
rq-3b-4,Planetary orbit stability during stellar acceleration,1,2015,Khodachenko,ATMOSPHERE EXPANSION AND MASS LOSS OF CLOSE-ORBIT GIANT EXOPLANETS HEATED BY STELLAR XUV. II. EFFECTS OF PLANETARY MAGNETIC FIELD; STRUCTURING OF INNER MAGNETOSPHERE,The Astrophysical Journal,111,10.1088/0004-637x/813/1/50
rq-3b-4,Planetary orbit stability during stellar acceleration,2,2013,Adams,EVOLUTION OF PLANETARY ORBITS WITH STELLAR MASS LOSS AND TIDAL DISSIPATION,The Astrophysical Journal,48,10.1088/2041-8205/777/2/l30
